웹 사이트,Web site,,웹사이트,"웹 브라우저를 통해 볼 수 있는 웹 콘텐츠(텍스트, 이미지, 오디오, 비디오 등)와 링크나 동적 기능으로 호출되는 내외부 리소스를 포함한 관련 웹 페이지들의 집합체.
일반적으로 ‘www’로 시작하는 도메인 이름으로 식별되고, 하나 이상의 웹 서버에서 호스팅된다.
 웹 사이트는 기본적으로 HTML, XHTML 등의 언어를 사용하여 제작되며, 이미지, 오디오, 비디오 등의 멀티미디어 콘텐츠를 포함할 수 있다. 또 웹 서버의 동적 기능을 통해 데이터베이스, 파일, 응용 프로그램 등의 외부 리소스를 호출해 보여 준다.기본적으로 HTTP 프로토콜을 통해 접속 가능하며, HTTPS를 이용하면 암호화를 통해 웹 콘텐츠의 보안과 개인 정보 보호가 가능하다.
최초의 웹 사이트는 1990년 팀 버너스 리(Tim Berners-Lee)가 유럽입자물리학연구소(CERN)에서 만든 ‘info.cern.ch’이다. 이후 인터넷 기술의 발전과 함께 수많은 웹 사이트가 생겨났고, 2016년 기준으로 전 세계 10억 개 이상의 웹 사이트가 존재하고 있다. 웹 사이트는 PC뿐만 아니라, TV, 스마트폰 등 인터넷에 연결된 다양한 디바이스를 통해 이용할 수 있다."
웹 서비스,Web service,,,"웹 표준을 통해 하나의 전자기기가 다른 전자기기에 제공하는 기능 혹은 서비스.
일반적으로 인터넷 환경에서 특정 전자기기가 자신이 제공하는 다양한 서비스를 다른 전자기기에서 활용할 수 있도록 웹 표준 기반으로 제공하는 것을 의미한다.
 W3C은 웹 서비스를 ‘네트워크 기반으로 기계 간 상호작용에 대한 상호 호환성을 지원하기 위해 설계된 소프트웨어 시스템’으로 정의한다.
웹 기술은 원래 사람과 기계 간의 소통을 위해 설계되었으나, XML과 제이슨(JSON: Javascript Object Notation) 같이 기계가 이해할 수 있는 파일 포맷으로 전달이 가능해지면서 기계 간의 상호작용에도 활용할 수 있게 되었다.
웹 서비스는 초기에 확장성 마크업 언어(XML), SOAP(Simple Object Access Protocol), WSDL(Web Services Description Language)과 UDDI(Universal Description, Discovery, and Integration)를 기반으로 웹 기반 응용을 통합하는 표준 방법으로 기술되었다. 그러나 XML 기반의 표준들은 처리하기가 무겁고 복잡하여, 상대적으로 가볍게 처리가 가능한 RESTFul API와 JSON기반으로 웹 서비스 기술이 발전하고 있다."
웹 서버,Web server,,,"웹 콘텐츠를 저장하거나 처리하는 컴퓨터 또는 소프트웨어. 일반적으로 웹 서버가 되는 컴퓨터에 설치되는 소프트웨어를 말한다.

웹 서버 소프트웨어는 HTTP 프로토콜을 통해 클라이언트(웹 브라우저)의 요청 정보를 받아 처리하고 그 결과를 다시 클라이언트에 보낸다. 클라이언트가 요청하는 자원(리소스)을 URL(Uniform Resource Locator) 형태로 받아 내부 파일 시스템과 매핑하여 처리하거나, URL과 입력 값(예: 로그인 화면의 아이디, 패스워드 등)을 함께 받으면 사전에 약속된 처리를 한 후 그 결과를 클라이언트에 전달한다.
대표적인 웹 서버로는 아파치(Apache), 엔진엑스(nginx), 마이크로소프트사의 IIS(Internet Information Services) 등이 있다."
자바스크립트,JavaScript,,,"웹 페이지에서 사용자로부터 특정 이벤트나 입력 값을 받아 동적인 처리를 목적으로 고안된 객체 기반의 스크립트 프로그래밍 언어.
사용자 경험을 향상시키기 위한 방법으로 주로 사용된다. 일반적으로 HTML 문서에 내재되며, 브라우저에서 실행된다."
하이퍼텍스트 프리프로세서,Hypertext Preprocessor,PHP,,"웹 서버에서 사용되는 대표적인 스크립트 언어.
웹 개발 시 서버의 기능을 활용하기 위해 별도의 실행 파일을 만들 필요없이 PHP로 작성된 문서를 HTML 문서 안에 삽입하거나 별도의 문서로 만든다. 일반적으로 약어 피에이치피(PHP)로 사용한다."
하이퍼텍스트 마크업 언어 버전 5,HyperText Markup Language version 5,HTML5,,"기존의 액티브엑스(ActiveX)나 플래시(Flash) 같은 플러그인(plug-in) 소프트웨어와 유사한 기능을 웹 응용 프로그램으로 개발할 수 있도록 지원한다. 또한 HTML5는 표준 기술로 이식성이 뛰어나 플랫폼(예: 리눅스, 윈도우, iOS, 안드로이드 등) 대부분에서 실행된다. 즉, HTML5로 웹 응용 프로그램을 만들면 거의 모든 디바이스나 플랫폼에서 사용할 수 있다.
초기 HTML 버전은 인터넷 환경에서 그래픽스 사용자 인터페이스(GUI) 기반으로 정보 공유를 효과적으로 하기 위한 하이퍼텍스트 표준을 개발하는 것이 목적이었다. 인터넷이 발전하면서 HTML5는 인터넷 기반 웹 응용 프로그램 개발에 필요한 오디오, 비디오 등의 멀티미디어 기능, 2D 그래픽스 기능, 웹 저장소(web storage), 웹소켓(WebSocket) 등 플랫폼 기술들을 표준으로 추가하였다."
하이퍼텍스트 마크업 언어,HyperText Markup Language,HTML,,"터넷 웹 페이지를 만들 때 사용하는 표준 마크업 언어.
제목(headings), 단락(paragraphs), 목록(lists), 링크(links) 등으로 텍스트의 구조적 의미를 나타내는 마크업 언어로, 구조화된 문서를 만든다. 또 하이퍼텍스트 기능을 이용하여 외부 웹 페이지나 파일 등 다른 리소스에 연결하는 방법을 제공한다. 일반적으로 약어 에이치티엠엘(HTML)로 사용한다.
HTML 표준은 웹 표준화 단체인 월드와이드웹 컨소시엄(W3C: World Wide Web Consortium)과 왓더블유지(WHATWG: Web Hypertext Application Technology Working Group)를 중심으로 지속적으로 개발되고 있다. 2017년 12월 최신 버전인 HTML 5.2가 발표되었다.
※ WHATWG: 웹 발전을 위해 2004년에 모질라(Mozilla), 애플(Apple) 등 브라우저 개발 업체 주축으로 결성된 웹 HTML 응용 기술 작업 그룹. ‘왓더블유지’로 읽는다. 2014년에 국제표준으로 제정된 HTML5 표준은 WHATWG에서 시작되었다."
확장성 마크업 언어,eXtensible Markup Language,XML,,"인간과 기계가 모두 이해할 수 있는 텍스트 형태로 마크업 포맷을 정의하기 위한 메타 언어.
인터넷 환경에 적합하도록 간결성, 보편성, 활용성에 중점을 두고 설계되었다. 유니코드(Unicode) 기반으로 다국어를 지원하고, 텍스트 형식의 데이터 포맷으로 플랫폼에 상관없이 다양한 시스템에서 활용 가능한 특징이 있다. 일반적으로 약어 엑스엠엘(XML)로 부른다.
W3C에서 XML 표준 개발을 리드했던 존 보삭(Jon Bosak)은 XML을 다음과 같이 설명하고 있다. “향후 XML은 웹 기술상에서 가장 핵심적인 진보를 가져올 것이며, 웹의 근본을 송두리째 바꿀 것이다. XML은 안전한 전자상거래 구축을 가능하게 하고, 새로운 분산 애플리케이션 시대를 이끌어 나갈 것이다. 또한 XML은 소프트웨어 개발자와 고객의 관계를 새롭게 변화시킬 것이다. 다시 말해서 XML은 어떤 플랫폼에서나 읽을 수 있는 포맷을 제공하기 때문에 특정 회사의 제품과 관련된 특정 환경에 얽매이지 않아도 된다.”"
확장성 마크업 스키마 정의 언어,XML Schema Definition language,XSD,XML 스키마 정의,"확장성 마크업 언어(XML) 기반으로 문서 구조와 각 구성 요소의 마크업을 원하는 대로 정의할 수 있어 데이터 검증과 재사용이 용이한 스키마 언어.
기존 XML 문서형 정의(DTD: Document Type Definition) 언어의 단점을 보완한 스키마 언어.
기존 XML 문서 구조(structure)를 정의할 때 사용된 XML DTD(XML Document Type Definition)는 XML 문법과 다르기 때문에 DTD 문법에 대한 별도의 지식이 필요하고 텍스트 형태의 데이터 유형(data type)만을 사용해야 한다는 제한이 있다. "
확장성 하이퍼텍스트 마크업 언어,eXtensible HyperText Markup Language,XHTML,,"하이퍼텍스트 마크업 언어(HTML)를 확장성 마크업 언어(XML: Extensible Markup Language) 기반으로 재정의한 마크업 언어 표준.
HTML 문서와 달리 정확한 문법으로 작성되어 재사용이 용이하다. 일반적으로 약어 엑스에이치티엠엘(XHTML)로 부른다."
에크마스크립트,ECMAScript,,,"유럽 컴퓨터 제조업자 협회(ECMA)에서 제정된 자바스크립트(JavaScript) 언어 표준.
웹 페이지에서 사용자가 입력한 이벤트를 받아 동적 처리를 하는 데 사용된다.
ECMAscript는 한마디로 표준 자바스크립트라고 할 수 있다."
문서 객체 모델,Document Object Model,DOM,,"프로그램이나 스크립트가 웹 페이지 내의 구성 요소들에 접근하여 내용이나 스타일 등을 변경할 수 있게 해 주는 인터페이스. 특정 플랫폼이나 언어에 종속되지 않는다.
브라우저에서 HTML, XML 등의 웹 페이지가 로딩되면 문서 객체 모델(DOM)은 브라우저 내에 트리(tree) 형태로 문서 내 요소들을 구성한다. 이렇게 생성된 트리 구조의 각 요소들을 ‘노드(node)’라고 한다"
유전 알고리즘,Genetic Algorithm,GA,,"진화의 핵심 원리인 자연 선택과 유전자의 개념을 이용한 최적화 기법.
주어진 문제에 대한 해답(solution)을 무작위로 생성한 뒤 이 해답 집단을 진화시켜 좋은 해답을 찾는다.
유전 알고리즘은 집단 기반의 최적화 기법인 진화 알고리즘의 한 종류로, 집적 회로 설계, 리보핵산(RNA: Ribonucleic acid) 구조 예측, 인공 신경망 학습 등 매우 다양한 분야의 최적화 및 탐색(search) 문제에 적용되고 있다.
 유전 알고리즘에서 문제의 해답(solution)은 고정된 길이의 문자열로 표현되며, 이는 다음 세대를 생성할 때 교차 및 돌연변이 과정의 적용을 용이하게 한다. 해답의 좋고 나쁨의 정도는 최적화 문제의 목적(objective) 함수에 의해 평가되는데, 이를 적합도(fitness) 함수라고 한다. 유전 알고리즘을 구성하는 주요 연산은 ‘선택(selection)’, ‘교차(crossover)’, ‘돌연변이(mutation)’이다. 선택은 현재 세대에서 다음 세대를 생성할 때 사용하는 해답들을 결정하는 연산으로, 적합도에 따라 확률적으로 결정된다. 교차는 두 해답을 결합해 새로운 해답을 만드는 과정으로, 생물의 염색체 교차를 모사한 것이다. 서로 다른 두 해답의 좋은 점을 모두 취하는 새로운 해답을 만들 수 있다. 돌연변이는 해답의 일부분을 무작위로 변형하는 것으로, 지역 최적 해답(local optimum solution)에 빠질 가능성을 줄여 준다.
유전 알고리즘은 1931년 시월 라이트(Sewall Wright)가 제안한 적합도 경관(fitness landscape)의 개념에 영향을 받았고, 1965년 잉고 레켄베르크(Ingo Rechenberg)가 비행기 익형(airfoil)의 최적화에 진화 전략을 적용하면서 유명해졌다."
5세대 컴퓨터,Fifth Generation Computer System,"5GCS, FGCS",,"인공 지능(AI)형 컴퓨터.
전기 저항이 없는 초전도체의 초대규모 집적 회로, 병렬 처리 방식의 하드웨어, 인공 지능 소프트웨어를 사용하여 실현한다.
현재 기술로는 한정된 음성 인식과 인간의 추리를 모방할 수 있는 정도이지만, 향후 목표는 자연어 인식과 인간 지능 정도의 컴퓨팅 성능을 갖추는 것이다. 5세대 컴퓨터 실현은 진행중으로 앞으로 나노 기술과 양자 계산 기술의 발전으로 가능해질 전망이다."
6세대 컴퓨터,Sixth Generation Computer System,"6GCS, SGCS",,"인간 두뇌 능력과 가장 유사한 정보 처리 능력을 가진 지능형 컴퓨터.
인간처럼 논리적인 추론을 할 수 있는 인공 지능형의 5세대 컴퓨터를 뛰어 넘어, 인간과 유사한 지능 지수(IQ: Intelligence Quotient)를 가진다.
인공 신경망(ANN: Artificial Neural Network)과 인공 두뇌 (Artificial brain) 기술이 사용되어 스스로 생각하고 감정을 표현할 수 있다.
일부에서는 인공 신경망(ANN) 컴퓨터, 양자 컴퓨터(quantum computer) 등을 대표적인 6세대 컴퓨터로 본다."
파이선,Python,,,"다양한 플랫폼에서 사용이 가능한 객체 지향 기반 인터프리터 방식의 고급 프로그래밍 언어 중 하나. 문법이 배우기 쉽고 결과를 바로 확인할 수 있어서 프로그래밍 초보자에게 추천되는 언어이다.
 1991년에 귀도 반 로섬이 발표하였고, 좋아하는 코미디 프로인 에서 파이선이라는 이름을 가져온 것으로 알려져 있다. 공동체 기반의 개방적 개발 모델을 가지고 있다.
문법 구조가 간단, 명확하고, 많은 시스템 호출과 풍부한 라이브러리(모듈), 다양한 윈도우 시스템용 인터페이스 등을 포함하고 있어 생산성이 높은 강력한 언어이기도 하다. 반면 실행 속도가 상대적으로 느리다는 단점이 있다. 다른 프로그래밍 언어와의 호환성이 높아, 빠른 속도가 필요한 부분은 C, C++ 등의 언어로 개발하여 융합할 수 있다.
 개발자 팀 피터스(Tim Peters)는 파이선의 철학으로 ‘추한 것보다는 아름다운 것이, 암시적인 것보다는 명확한 것이, 복잡한 것보다는 단순한 것이, 난해한 것보다는 복잡한 것이 낫고 가독성이 중요하다’ 등을 명시하였다"
술어 논리,Predicate logic,,"1차 논리, 1차 술어 논리","객체 사이의 관계를 나타내는 논리 또는 형식 체계.
명제 논리의 모든 요소를 포함하고 보다 효율적인 지식 표현이 가능하다. 명제 논리와 마찬가지로 지식 표현 및 추론에 사용된다."
의사 결정 지원 시스템,Decision Support System,DSS,Decision-making Support System,"사업체를 비롯한 조직의 의사 결정을 지원하는 컴퓨터 기반 정보 시스템.
대량의 데이터를 처리 및 분석하여 의사 결정에 필요한 지식을 추출하고 사용자에게 제공하는 역할을 한다. 제품 판매에 관한 자료 및 문서, 조직 구성원의 지식 등 다양한 형태의 정형/비정형 데이터를 다룬다. 병원의 진단, 은행의 신용 대출 가능성 판단, 기업의 엔지니어링 프로젝트 입찰 평가 등 다양한 분야에 활용된다.

DSS는 기반 및 지원 형태에 따라 통신 기반, 데이터 기반, 문서 기반, 지식 기반, 모델 기반 시스템으로 분류될 수 있다. 지식 기반 DSS의 핵심은 인공 지능(AI)의 전문가 시스템(expert system) 혹은 추천 시스템(recommendation system)으로 간주된다."
데이터 창고,Data Warehouse,DW,"데이터 웨어하우스, 자료 창고","조직 내에서 분산 운영되는 각각의 데이터베이스 관리 시스템에 축적된 데이터들을 공통의 형식으로 변환하여 통합하고 조정·관리하는 데이터베이스 기술.
데이터(data)와 창고(warehouse)란 의미가 합성된 용어이다. 데이터 이외의 분석 방법도 포함하여 조직 내 의사 결정을 지원하는 정보 관리 시스템을 의미하기도 한다.
"
데이터 채굴,Data mining,,데이터 마이닝,"인공 지능 기법을 이용하여 대용량의 데이터에서 의미 있는 통계적 패턴이나 규칙, 관계를 찾아내 분석함으로써 유용하고 활용 가능한 정보를 추출하는 기술."
군집 분석,Cluster analysis,,"군집화, Clustering","서로 유사한 정도에 따라 다수의 객체를 군집으로 나누는 작업 또는 이에 기반한 분석.
동일한 군집에 속하는 객체 간의 유사도가 그렇지 않은 객체 간의 유사도보다 평균적으로 높도록 군집을 구성한다. 대표적인 비지도 기계 학습(unsupervised machine learning) 방법으로, 데이터의 분할 및 요약에 널리 이용되며 데이터에서 유용한 지식을 추출하는 데 활용된다.

객체의 종류에 따라 다양한 유사도 기준이 적용된다. 대표적으로 유클리드 거리(Euclidean distance, 두 객체 사이의 직관적인 거리)와 코사인 유사도(두 객체 사이의 각도) 등이 있다.
데이터 군집 분석을 위한 다양한 방법과 알고리즘이 개발되어 있다. 최적의 군집 개수를 정하거나 군집 분석 결과의 정확도를 평가하는 객관적인 기준은 없으며, 배경 지식에 근거한, 사람의 주관적인 평가가 필요하다. 대표적인 군집 분석 방법으로 ‘계층적 군집화’와 ‘k-평균 군집화’를 들 수 있다. 계층적 군집화는 모든 객체가 하나의 군집에 포함되는 경우부터 객체 하나하나가 각각의 군집을 구성하는 경우까지 단계적으로 군집을 구성하는 방법이다. 상향식 방법과 하향식 방법이 있다. k-평균 군집화는 사용자가 군집의 개수 ‘k’를 미리 결정하는 방법으로, 초기화 상태에 따라 다양한 결과를 얻게 된다.
군집 분석은 마케팅 분야에서 고객 데이터를 활용하여 고객 군집을 구성한 뒤 각 군집별로 맞춤형 마케팅 전략을 고안하는 데 적용되고 있고, 생의학 분야에서는 유전자 군집을 분석하여 유전자의 기능을 예측하거나 암환자 군집을 분석하여 암의 새로운 아형(subtype)을 발견하는 데 활용되고 있다.
군집 분석은 1932년 헤럴드 드라이버(Harold E. Driver)와 앨프리드 크로버(Alfred L. Kroeber)가 처음 시도한 것으로 알려져 있다."
응용 프로그래밍 인터페이스,Application Programming Interface,API,응용 프로그램 인터페이스,"운영 체제, 프로그래밍 언어 등에 있는 라이브러리를 응용 프로그램 개발 시 이용할 수 있도록 규칙들을 정의해 놓은 인터페이스.
 파일 관리, 화면 표시, 프로그램 간 통신 등과 같이 자주 사용되는 다양한 공통 기능들을 OS나 프로그래밍 언어 등에서 라이브러리(library) 형태로 제공하는데, API는 라이브러리를 이용하는 방법과 형식을 규정한다. 즉, 라이브러리는 기능을 구현한 함수들을 모아 놓은 것이고, API는 라이브러리를 이용할 수 있는 도구이다.
API를 이용하면 개발자는 동작되는 기능의 세부 사항을 알 필요 없어 개발 시간과 비용, 노력을 절감할 수 있다. 또한 OS 간 공통된 API 사용으로 다른 기종의 컴퓨터 사이에 응용 프로그램의 이식성(portability)이 확보된다."
추상화,Abstraction,,,"컴퓨터 과학 분야에서 주어진 문제나 시스템의 복잡도를 단순화하여 인식하기 쉽게 만드는 개념화 작업.
핵심 요소를 잘 파악하여 필요 이상으로 상세, 복잡한 요소들을 결합하거나 단순화하고, 속성의 일부분만으로 주어진 대상을 간결하고 명확하게 표현한다. 복잡도를 관리하는 핵심 기술이라고 할 수 있다."
분기,branch,,,"기본적인 프로그램 실행 흐름을 다른 곳으로 변경하는 프로그램 명령.
컴퓨터 프로그램에서 순차적 제어 흐름을 조건에 따라 다른 흐름으로 변경하거나, 기계어 명령어 체계에서 지시된 주소로 명령 순서를 이동하는 것을 말한다.

컴퓨터 프로그램에서 분기는 ‘무조건 분기(unconditional branch)’와 ‘조건 분기(conditional branch)’로 분류된다. 무조건 분기는 조건에 상관없이 프로그램의 실행 흐름을 정해진 위치로 변경하는 것을 말하며, 대표적인 명령어로 goto 문이 있다. 조건 분기는 특정 조건이 충족되면 프로그램의 실행 흐름을 다른 곳으로 이동하는 것으로, 대표적인 예로 포트란(FORTRAN)과 베이직(BASIC)의 if, else 문 등이 있다.
마이크로프로세서가 인식하는 기계어 명령어 체계에서 무조건 분기에 해당하는 명령어로 jump(건너뛰기) 등이 있고, 조건 분기에 해당하는 명령어로는 beq(조건이 같은 경우, branch if equal), bne(조건이 같지 않은 경우, branch if not equal) 등이 있다."
밀리미터파,millimeter wave,mmWave,,"주파수가 30~300 기가헤르츠(㎓)이고, 파장이 1~10 밀리미터(mm)인 전파. 극고주파(EHF: Extremely High Frequency)를 파장으로 구분하여 부르는 명칭이다.
밀리미터파는 광대역 전송이 가능하여 위성 통신, 이동 통신, 무선 항행, 지구 탐사, 전파 천문 등 다양하게 사용된다."
토큰,token,,,"①일련의 문자열을 구분할 수 있는 단위.
②시스템에서 보안 객체의 접근 관리에 사용되는 객체 또는 장치.
토큰은 크게 접근(access) 토큰, 보안(security) 토큰, 세션(session) 토큰 등으로 분류할 수 있다. 접근 토큰(access token)이 가장 많이 사용되는 토큰 형식으로 시스템이나 소프트웨어에서 어떤 특정한 기능이나 데이터에 접근하는 대상에게 권한을 부여하는 데 사용된다. 통상 난수 형태의 문자열로 구성된다. 예를 들어, 웹 서비스 제공자는 사용자의 아이디, 패스워드 또는 신용카드 등의 정보를 사용해 만든 접근 허가 토큰을 사용자에게 발행하고 접속 시 사용하게 하여 개인정보 누출을 방지하고 안전한 서비스를 제공할 수 있다. 보안 토큰(security token)은 하드웨어 저장 장치로 특정 전자기기의 제한된 자원(리소스)의 사용 권한을 제어한다. 예로 유에스비(USB) 보안 토큰이 있다. 세션 토큰(session token)은 통신망에서 서버와 클라이언트 간 세션(논리적 연결) 후 사용된다. 인터넷 서버가 하이퍼텍스트 전송 규약(HTTP: Hypertext Transfer Protocol)을 통해 클라이언트와 연결된 후 상호 간 데이터 교환을 위해 클라이언트에 부여하는 객체이다. 세션 식별자(Session ID)로 표현하기도 한다.
③링 또는 버스 형태의 네트워크에서 장비 간 전송되는 신호의 순서.
"
,,,,"④특정 블록체인 플랫폼에서 동작하는 응용 서비스에서만 사용하는 암호화폐.
일반적으로 블록체인 플랫폼은 거래 수수료, 채굴 인센티브 등을 위한 자체 지불 수단을 가진다. 이를 코인이라 부른다. 이와 같은 블록체인 시스템에서 동작하는 응용 서비스는 지속적으로 성장하고 안정적으로 유지될 수 있도록 네트워크 참여자들을 새롭게 확보해야 한다. 이 응용 서비스만을 위한 별도의 지불 수단을 토큰이라 한다. 따라서 이 토큰은 기존 코인보다 더 많은 수수료와 인센티브를 제공하여 네트워크 참여자들을 더 많이 유도할 수 있다. 다시 말해, 토큰은 인센티브 형태로 제공되는 지불 수단으로 특정 커뮤니티 내에서 디지털 화폐로 사용할 수도 있다. 이후에 충분한 응용 서비스 사용자가 확보되면 이 응용 서비스를 위해 독립된 블록체인 플랫폼으로 발전하게 된다.
따라서 토큰은 독립적인 블록체인 플랫폼으로 성장할 수 있을지를 시험하는 테스트넷(testnet)에서의 지불 수단이라 할 수 있다. 일반적으로 토큰에서 코인(coin)으로 발전하며 테스트넷에서 토큰을, 메인넷(mainnet)에서 코인을 지불 수단으로 사용한다. 대표적인 토큰으로 이오스(EOS), 트론(TRX), 비체인(VeChain) 등이 있다."
